Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
Juan Hernangómez,PF,24,TOT,48,14,833,5.7,14.2,0.405,2.5,7.4,0.341,3.2,6.8,0.475,2.5,4.1,0.62,2.5,8.9,11.3,2.3,1.1,0.5,1.8,3.7,16.6,105.0,112,Forward,0.03333333333333334
Willy Hernangómez,C,25,CHO,31,0,375,9.9,18.6,0.532,0.7,2.9,0.22699999999999998,9.2,15.6,0.59,4.9,7.9,0.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,110.0,110,Center,0.02368692070030896
Tyler Herro,SG,20,MIA,47,6,1280,8.4,20.3,0.414,3.8,9.7,0.391,4.6,10.7,0.434,2.5,3.0,0.835,0.5,6.6,7.1,3.5,1.1,0.3,2.8,2.3,23.1,100.0,112,Guard,0.042224510813594233
Kevin Hervey,PF,23,OKC,7,0,19,2.6,28.2,0.091,0.0,20.5,0.0,2.6,7.7,0.33299999999999996,0.0,0.0,0.0,0.0,5.1,5.1,2.6,0.0,0.0,0.0,2.6,5.1,26.0,115,Forward,0.0411946446961895
Mario Hezonja,PF,24,POR,47,4,767,5.0,11.7,0.429,1.3,4.0,0.32799999999999996,3.7,7.8,0.48,2.6,3.2,0.8240000000000001,1.6,8.5,10.1,2.6,1.7,0.6,2.3,5.7,14.0,104.0,113,Forward,0.029866117404737384
Buddy Hield,SG,27,SAC,64,44,2045,10.9,25.3,0.429,5.8,14.7,0.395,5.1,10.6,0.47700000000000004,2.7,3.1,0.855,1.4,5.9,7.3,4.7,1.4,0.4,3.6,3.6,30.2,107.0,113,Guard,0.028836251287332648
George Hill,PG,33,MIL,52,0,1103,7.4,13.9,0.53,3.0,6.3,0.48,4.4,7.6,0.5710000000000001,2.9,3.4,0.831,1.9,4.5,6.4,6.3,1.7,0.2,2.0,3.1,20.6,132.0,105,Guard,0.05458290422245108
Solomon Hill,SF,28,TOT,54,4,992,4.7,11.7,0.40299999999999997,2.8,7.4,0.37799999999999995,1.9,4.3,0.446,1.4,2.0,0.7140000000000001,1.3,6.0,7.3,4.6,1.7,0.6,2.2,3.7,13.7,107.0,111,Forward,0.03333333333333334
Jaylen Hoard,SF,20,POR,13,0,103,6.9,14.8,0.469,0.0,1.4,0.0,6.9,13.4,0.517,3.7,6.0,0.615,6.5,8.3,14.8,1.9,2.3,0.0,1.9,5.6,17.6,113.0,112,Forward,0.029866117404737384
Aaron Holiday,PG,23,IND,58,26,1368,7.2,17.7,0.40700000000000003,2.8,7.2,0.39399999999999996,4.3,10.4,0.41600000000000004,2.2,2.6,0.861,0.7,4.0,4.7,6.9,1.6,0.5,2.7,3.6,19.4,104.0,111,Guard,0.04016477857878476
